Input,Runtime
100,0.6488000000003922
99,0.5320000000001528
98,0.40679999999974825
97,0.4382999999997992
96,0.6738000000000284
95,0.40239999999994325
94,0.47240000000010696
93,0.6954999999998108
92,0.4135000000001128
91,0.4179999999996653
90,0.3868000000002212
89,0.387000000000171
88,0.4095999999999549
87,0.38009999999985666
86,0.38779999999997017
85,0.4011000000000422
84,0.40679999999974825
83,0.37239999999974316
82,0.3523000000000138
81,0.4119999999998072
80,0.3698999999996886
79,0.3746000000001004
78,0.3851999999997133
77,0.4442999999996573
76,0.4422999999997046
75,0.43400000000019645
74,0.3860999999997148
73,0.4513000000001739
72,0.571100000000115
71,0.4207000000001244
70,0.4353000000000975
69,0.36760000000003856
68,0.38320000000021537
67,0.37150000000019645
66,0.3730000000000473
65,0.3894999999997708
64,0.5852999999997337
63,0.44590000000016516
62,0.4373000000000502
61,1.3341999999997824
60,0.4600000000000364
59,0.5065999999997075
58,0.4070000000001528
57,0.43810000000030414
56,0.3629000000000815
55,0.3762000000001535
54,0.4372000000003027
53,0.5264999999999418
52,0.481300000000374
51,0.46039999999993597
50,0.3811999999998079
49,0.4257999999999811
48,0.40770000000020445
47,0.41629999999986467
46,0.5457999999998719
45,0.37800000000015643
44,0.3955000000000837
43,0.46610000000009677
42,0.42479999999977736
41,0.5274999999996908
40,0.4272000000000844
39,0.4537999999997737
38,0.40180000000009386
37,0.41899999999986903
36,0.38770000000022264
35,0.48050000000012005
34,0.5752000000002226
33,0.49519999999984066
32,0.39370000000008076
31,0.3789000000001579
30,0.39820000000008804
29,0.43000000000029104
28,0.42430000000013024
27,0.44039999999995416
26,0.46329999999989013
25,0.45309999999972206
24,0.3874000000000706
23,0.5017000000002554
22,0.4843999999998232
21,0.3946000000000822
20,0.44270000000005894
19,0.4276999999997315
18,0.4270000000001346
17,0.4191000000000713
16,0.44840000000021973
15,0.4578000000001339
14,0.46680000000014843
13,0.471599999999853
12,0.48159999999961656
11,0.3886000000002241
10,0.4758999999999105
9,0.3795000000000073
8,0.4477000000001681
7,0.4388000000003558
6,0.46860000000015134
5,0.4648000000001957
4,0.4670000000000982
3,0.4374000000002525
2,0.4578000000001339
1,0.8141000000000531
